-9.077685762255546242e-01,-3.075152971126535184e-01,2.852902978706883808e-01
-8.464320994547803734e-01,-3.353264237570968143e-01,4.136531041136384257e-01
-7.725288334945736857e-01,-3.605153369283841669e-01,5.227120557811222312e-01
-6.499356842332385531e-01,-3.887204201168920625e-01,6.530543938634965073e-01
-5.072099953382254167e-01,-4.124890333872522352e-01,7.566973093412237006e-01
-3.213340826735315292e-01,-4.324531664506397477e-01,8.424539549074330225e-01
-1.267028805798609270e-01,-4.421774564578007660e-01,8.879332615986836874e-01
3.662080466760159192e-02,-4.445834521199317213e-01,8.949885310810538064e-01
1.753006289831350040e-01,-4.407434753218369972e-01,8.803492934280957583e-01
3.462242321952548885e-01,-4.293563969363861643e-01,8.341353999505181083e-01
4.851247087367329125e-01,-4.135546742901598516e-01,7.704716401957042438e-01
6.164143967581175998e-01,-3.924864411327341207e-01,6.826329064704443894e-01
7.477677872205983345e-01,-3.630391699966453167e-01,5.559189666159597421e-01
8.295084612624658016e-01,-3.370519598188753130e-01,4.453220060543053860e-01
9.185925106660893791e-01,-2.948771970368854189e-01,2.631258976532698801e-01
9.611619406860051340e-01,-2.559651088760266924e-01,1.031968352944785394e-01
9.739913048664278206e-01,-2.246197049109661392e-01,-2.978130639014242576e-02
9.654708991622612535e-01,-1.911788174733686785e-01,-1.769649756881256364e-01
9.384562109251737283e-01,-1.627304673654045297e-01,-3.046616732820244255e-01
8.652592886244737658e-01,-1.198200251305032993e-01,-4.867951571521592635e-01
7.765813619539575496e-01,-8.813055851505456617e-02,-6.238224049531733151e-01
6.259580938438699116e-01,-5.140578167982270963e-02,-7.781605941971332374e-01
4.804141078980188606e-01,-2.810492950321219832e-02,-8.765913516971122199e-01
3.267580450708592044e-01,-1.237867287918924426e-02,-9.450269564616770035e-01
1.342290368365824660e-01,-1.858571682986587259e-03,-9.909485916944544837e-01
-2.879167065173776283e-02,-7.846349651876694626e-04,-9.995851259642938302e-01
-1.649662714117650919e-01,-4.459571358317541284e-03,-9.862891267370841319e-01
-3.492961745652943817e-01,-2.982895425652104873e-02,-9.365374610350691853e-01
-5.350214376034880814e-01,-5.208933061617374710e-02,-8.432311444323292715e-01
-6.721096769532943771e-01,-7.807349655287904033e-02,-7.363240531734283056e-01
-7.587464241803355547e-01,-9.983391127464205650e-02,-6.436901847575130509e-01
-8.503783637524239269e-01,-1.294855506651786670e-01,-5.099903240559426898e-01
-9.283966019093428113e-01,-1.671903554070537090e-01,-3.318540863422482223e-01
-9.642992676587784917e-01,-2.062464200864601305e-01,-1.661003810780192769e-01
-9.705690730679165101e-01,-2.403167272482178707e-01,-1.560592864239718214e-02
-9.455134741769002371e-01,-2.817576029308820895e-01,1.631469378829141226e-01
